white wine quality database, 0=undrinkable, 1=undrinkable, 2=undrinkable, 3=poor, 4=below average, 5=average, 6=above average, 7=good, 8=great, 9=superb, 10=unrivaled
104,4,7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7
105,4,6.3,0.24,0.37,1.8,0.031,6,61,0.9897,3.3,0.34,12.2
106,4,7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2
107,4,6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9
108,4,6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9
109,4,7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2
110,4,7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9
111,4,6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9
112,4,7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8
113,4,6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5
114,4,6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6
115,4,6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5
116,4,6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9
117,4,6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9
118,4,7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3
119,4,9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10
120,4,9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2
121,4,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2
122,4,6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4
123,4,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2
124,4,6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2
125,4,6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8
126,4,7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7
127,4,7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7
128,4,8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4
129,4,8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4
130,4,6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4
131,4,6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4
132,4,7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7
133,4,7.1,0.23,0.24,5.4,0.039,60,196,0.9948,3.19,0.78,10
134,4,6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3
135,4,8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5
136,4,7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8
137,4,7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4
138,4,6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6
139,4,6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6
140,4,7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7
141,4,6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4
142,4,8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5
143,4,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8
144,4,6.5,0.29,0.25,2.5,0.142,8,111,0.9927,3,0.44,9.9
145,4,6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8
146,4,6.7,0.64,0.3,1.2,0.03,18,76,0.9892,3.16,0.6,12.9
147,4,6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1
148,4,7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8
149,4,5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5
150,4,6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2
151,4,6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4
152,4,6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4
153,4,8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10
154,4,6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7
155,4,7.4,0.27,0.31,2.4,0.014,15,143,0.99094,3.03,0.65,12
156,4,7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6
157,4,6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1
158,4,4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5
159,4,8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11
160,4,7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2
161,4,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4
162,4,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4
163,4,6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4
164,4,6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4
165,4,6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9
166,4,6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8
167,4,6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1
168,4,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2
169,4,6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2
170,4,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2
171,4,5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2
172,4,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1
173,4,6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8
174,4,5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55
175,4,5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5
176,4,6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11
177,4,6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2
178,4,6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2
179,4,7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2
180,4,6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9
181,4,6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1
182,4,5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6
183,4,6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5
184,5,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12
185,5,8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7
186,5,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8
187,5,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7
188,5,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5
189,5,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3
190,5,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2
191,5,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8
192,5,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10
193,5,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6
194,5,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6
195,5,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8
196,5,6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8
197,5,7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5
198,5,6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1
199,5,6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8
200,5,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5
201,5,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5
202,5,6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10
203,5,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5
204,5,7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3
205,5,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9
206,5,7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10
207,5,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7
208,5,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7
209,5,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9
210,5,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1
211,5,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4
212,5,6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4
213,5,7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9
214,5,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1
215,5,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4
216,5,6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3
217,5,7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9
218,5,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2
219,5,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1
220,5,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1
221,5,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2
222,5,7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2
223,5,5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2
224,5,7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8
225,5,7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7
226,5,7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5
227,5,5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6
228,5,6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9
229,5,6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2
230,5,6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9
231,5,6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6
232,5,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7
233,5,6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2
234,5,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7
235,5,7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4
236,5,6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1
237,5,6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6
238,5,6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5
239,5,7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8
240,5,7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3
241,5,9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10
242,5,7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2
243,5,5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4
244,5,7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2
245,5,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7
246,5,6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3
247,5,6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3
248,5,5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11
249,5,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7
250,5,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6
251,5,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1
252,5,6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1
253,5,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9
254,5,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8
255,5,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9
256,5,6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3
257,5,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8
258,5,6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6
259,5,6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8
260,5,7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2
261,5,6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2
262,5,5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5
263,5,7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2
264,5,5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4
265,5,7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11
266,5,5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4
267,5,5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4
268,5,7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11
269,5,7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11
270,5,7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7
271,5,7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7
272,5,7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7
273,5,7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4
274,5,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7
275,5,6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10
276,5,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7
277,5,6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9
278,5,6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2
279,5,6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9
280,5,5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7
281,5,5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7
282,5,5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3
283,5,6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9
284,5,7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5
285,5,7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6
286,5,6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3
287,5,7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8
288,5,7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8
289,5,7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1
290,5,8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4
291,5,7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9
292,5,5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10
293,5,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5
294,5,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5
295,5,8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4
296,5,7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5
297,5,7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4
298,5,6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6
299,5,6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8
300,5,5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8
301,5,5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4
302,5,5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10
303,5,7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10
304,5,7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9
305,5,7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6
306,5,6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10
307,5,6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1
308,5,6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6
309,5,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8
310,5,6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10
311,5,8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4
